ID_CLIENT,FREQ,TOTAL_SPEND,TRAFFIC,AVG_BASKET,SCORE_IMPACT
-9.17146e+18,1,63.0,1,63.0,1.6920653563642862
-9.17138e+18,2,115.3,2,57.65,1.9670119456668225
-9.17135e+18,6,174.76999999999998,6,29.12833333333333,2.91914288976663
-9.1712e+18,1,39.9,1,39.9,1.2131268996104247
-9.1702e+18,2,203.99,2,101.995,2.8864286497685536
-9.17015e+18,1,26.0,1,26.0,0.9249344948970624
-9.17013e+18,8,775.02,8,96.8775,5.095543549625373
-9.16907e+18,1,44.99,1,44.99,1.3186592262284837
-9.1687e+18,12,1575.85,11,131.32083333333333,7.228144620543661
-9.16719e+18,3,237.75,2,79.25,2.6757200678488635
-9.16681e+18,1,7.9,1,7.9,0.5496623707739067
-9.16678e+18,1,45.0,1,45.0,1.318866558893745
-9.16671e+18,1,104.49,1,104.49,2.5522885845338847
-9.16626e+18,32,1820.34,31,56.885625,13.402250911587643
-9.16617e+18,4,83.98,3,20.995,1.8537731915858995
-9.16593e+18,33,6421.91,29,194.60333333333332,16.26845842904941
-9.16524e+18,1,45.0,1,45.0,1.318866558893745
-9.1649e+18,1,119.2,1,119.2,2.8572749351334217
-9.16483e+18,1,55.0,1,55.0,1.526199224155157
-9.16448e+18,1,161.25,1,161.25,3.7291087925576587
-9.16412e+18,1,37.67,1,37.67,1.16689171525713
-9.16381e+18,7,904.35,7,129.19285714285715,5.379676896938281
-9.16355e+18,1,13.99,1,13.99,0.6759279639181066
-9.16312e+18,1,23.990000000000002,1,23.990000000000002,0.8832606291795185
-9.16308e+18,1,99.0,1,99.0,2.4384629513053695
-9.16307e+18,6,539.5799999999999,6,89.92999999999999,4.179760050000224
-9.16289e+18,5,255.44,5,51.088,2.988568946374458
-9.16286e+18,1,170.0,1,170.0,3.910524874661394
-9.16257e+18,1,64.0,1,64.0,1.712798622890428
-9.16234e+18,2,427.23,2,213.615,5.200675859416434
-9.16212e+18,1,108.80000000000001,1,108.80000000000001,2.6416489632615536
-9.16184e+18,1,109.0,1,109.0,2.6457956165667813
-9.16168e+18,1,14.99,1,14.99,0.6966612304442478
-9.16153e+18,3,135.79,3,45.26333333333333,2.0960654495137443
-9.16129e+18,6,322.36,6,53.72666666666667,3.4291466908654935
-9.16112e+18,3,105.57,3,35.19,1.8872123447070823
-9.16089e+18,1,27.98,1,27.98,0.9659863626188216
-9.16088e+18,1,32.0,1,32.0,1.0493340940539095
-9.16032e+18,1,38.0,1,38.0,1.1737336932107565
-9.16021e+18,1,61.97,1,61.97,1.670710091842361
-9.16006e+18,3,201.37,2,67.12333333333333,2.4242946557751917
-9.16002e+18,24,856.78,22,35.69916666666666,9.751029902478525
-9.15984e+18,3,107.99000000000001,2,35.99666666666667,1.7789371797048363
-9.15971e+18,3,183.54,3,61.18,2.426069941721492
-9.15966e+18,6,109.7,6,18.283333333333335,2.694290614290629
-9.15941e+18,1,50.0,1,50.0,1.4225328915244508
-9.15905e+18,1,66.0,1,66.0,1.75426515594271
-9.15867e+18,1,50.49,1,50.49,1.4326921921222602
-9.15864e+18,2,144.97,2,72.485,2.274589954582127
-9.15855e+18,1,66.0,1,66.0,1.75426515594271
-9.15829e+18,1,96.0,1,96.0,2.376263151726946
-9.15792e+18,3,91.24000000000001,3,30.413333333333338,1.7881764416005481
-9.15774e+18,1,31.0,1,31.0,1.0286008275277683
-9.15772e+18,1,182.15,1,182.15,4.162434062954009
-9.15741e+18,3,301.1,3,100.36666666666667,3.2385375459925454
-9.15705e+18,7,133.52,6,19.074285714285715,2.971559206031792
-9.15661e+18,1,32.0,1,32.0,1.0493340940539095
-9.15642e+18,8,420.1,7,52.5125,4.05071218019312
-9.15494e+18,5,156.85,5,31.369999999999997,2.5797503970120053
-9.15477e+18,1,54.0,1,54.0,1.5054659576290157
-9.1542e+18,17,1090.0,16,64.11764705882354,7.764150874195294
-9.15393e+18,1,50.0,1,50.0,1.4225328915244508
-9.15327e+18,1,88.0,1,88.0,2.210397019517816
-9.15265e+18,1,85.4,1,85.4,2.1564905265498493
-9.15259e+18,1,27.98,1,27.98,0.9659863626188216
-9.15247e+18,2,78.9,2,39.45,1.5896664948910524
-9.15201e+18,1,20.0,1,20.0,0.8005348957402153
-9.15131e+18,1,108.75,1,108.75,2.6406122999352464
-9.15116e+18,1,76.3,1,76.3,1.9678178011619645
-9.15083e+18,1,45.89,1,45.89,1.3373191661020107
-9.15067e+18,4,19.96,4,4.99,1.6469372608350095
-9.14991e+18,6,309.4,5,51.56666666666666,3.259362835169028
-9.14988e+18,1,32.0,1,32.0,1.0493340940539095
-9.14975e+18,2,297.5,2,148.75,3.855812526198285
-9.14955e+18,2,46.47,2,23.235,1.2534765781696733
-9.14908e+18,2,91.56,2,45.78,1.7209080720015264
-9.14891e+18,2,211.8,2,105.9,2.967392055553135
-9.14873e+18,2,31.98,2,15.99,1.1032640621877803
-9.1484e+18,14,849.6899999999999,14,60.692142857142855,6.660520286943257
-9.14834e+18,1,80.39,1,80.39,2.052616861253882
-9.14796e+18,3,109.97999999999999,3,36.66,1.91769024650051
-9.1478e+18,2,155.4,2,77.7,2.3827139395159533
-9.14763e+18,2,30.990000000000002,2,15.495000000000001,1.0930010952573403
-9.14749e+18,4,156.14,4,39.035,2.352801319717486
-9.14731e+18,1,36.0,1,36.0,1.1322671601584744
-9.14725e+18,3,251.98000000000002,3,83.99333333333334,2.899064862071193
-9.14716e+18,2,94.22,2,47.11,1.7484833164812938
-9.14714e+18,3,479.25,2,159.75,4.34474802320323
-9.14708e+18,5,583.8000000000001,5,116.76000000000002,4.350164025679202
-9.14706e+18,2,389.8,2,194.9,4.812652776379702
-9.14684e+18,7,502.69,7,71.81285714285714,4.190002063668299
-9.14667e+18,1,34.0,1,34.0,1.0908006271061916
-9.1461e+18,1,99.0,1,99.0,2.4384629513053695
-9.14603e+18,1,90.58999999999999,1,90.58999999999999,2.2640961798205215
-9.14508e+18,2,210.0,2,105.0,2.948732115679608
-9.14496e+18,5,213.14,5,42.628,2.813165511563303
-9.14482e+18,1,81.75,1,81.75,2.0808141037294337
-9.14413e+18,2,157.19,2,78.595,2.4012702130568497
-9.14355e+18,2,355.8,2,177.9,4.460187245435301
-9.14351e+18,1,27.98,1,27.98,0.9659863626188216
-9.1432e+18,1,37.96,1,37.96,1.172904362549711
-9.14285e+18,2,170.0,2,85.0,2.534066785156784
-9.14269e+18,2,19.98,2,9.99,0.9788644630309331
-9.14216e+18,2,39.36,2,19.68,1.1797698156692413
-9.14214e+18,5,102.0,5,20.4,2.352306463220237
-9.14196e+18,2,71.19,2,35.595,1.5097397524327782
-9.14183e+18,10,827.11,9,82.711,5.448564859817577
-9.14145e+18,1,114.6,1,114.6,2.761901909113172
-9.14095e+18,5,312.42,4,62.484,3.0998452517063626
-9.14091e+18,1,39.9,1,39.9,1.2131268996104247
-9.14076e+18,1,104.25,1,104.25,2.5473126005676106
-9.1407e+18,1,39.9,1,39.9,1.2131268996104247
-9.14057e+18,3,109.0,3,36.333333333333336,1.9109173794353038
-9.1405e+18,1,37.5,1,37.5,1.163367059947686
-9.1404e+18,1,11.97,1,11.97,0.6340467655353014
-9.14013e+18,1,15.99,1,15.99,0.7173944969703889
-9.1401e+18,1,97.5,1,97.5,2.4073630515161577
-9.14004e+18,2,28.98,2,14.49,1.0721641623985685
-9.13991e+18,1,45.49,1,45.49,1.3290258594915543
-9.13956e+18,2,195.29000000000002,2,97.64500000000001,2.7962389403798396
-9.13937e+18,1,9.98,1,9.98,0.5927875651482805
-9.13884e+18,1,104.3,1,104.3,2.548349263893918
-9.1386e+18,2,85.99,2,42.995,1.6631659247262232
-9.13841e+18,3,156.39,3,52.129999999999995,2.238433879659914
-9.13833e+18,15,1437.55,14,95.83666666666666,7.6500506312378205
-9.13808e+18,1,80.0,1,80.0,2.044530887308687
-9.13785e+18,1,44.99,1,44.99,1.3186592262284837
-9.13733e+18,3,257.09000000000003,3,85.69666666666667,2.9343805260540536
-9.13719e+18,8,1031.3899999999999,8,128.92374999999998,5.759966992038725
-9.13705e+18,1,92.0,1,92.0,2.2933300856223813
-9.13646e+18,4,128.79,4,32.1975,2.211037609844996
-9.13601e+18,4,295.45,4,73.8625,3.074889159656669
-9.13597e+18,4,182.47,4,45.6175,2.489278046625811
-9.13592e+18,2,170.5,2,85.25,2.539250101788319
-9.13565e+18,1,10.99,1,10.99,0.613728164339683
-9.1352e+18,1,13.99,1,13.99,0.6759279639181066
-9.13463e+18,4,129.2,3,32.3,2.0881627696639256
-9.13458e+18,1,45.75,1,45.75,1.334416508788351
-9.13417e+18,2,117.9,2,58.95,1.993965192150806
-9.13415e+18,2,51.96,2,25.98,1.3103893947839307
-9.13407e+18,2,278.0,2,139.0,3.653663177568408
-9.13398e+18,1,82.25,1,82.25,2.091180736992505
-9.13334e+18,1,101.8,1,101.8,2.496516097578565
-9.13328e+18,5,283.28999999999996,5,56.657999999999994,3.1040532409250643
-9.13313e+18,1,13.99,1,13.99,0.6759279639181066
-9.1329e+18,1,116.9,1,116.9,2.809588422123297
-9.13277e+18,1,9.99,1,9.99,0.5929948978135419
-9.13113e+18,6,623.99,6,103.99833333333333,4.471442554578822
-9.13109e+18,4,535.35,4,133.8375,4.318366819561987
-9.13088e+18,5,232.3,5,46.46,2.8926153888914765
-9.13082e+18,2,53.97,2,26.985,1.3312263276427028
-9.13061e+18,2,58.97,2,29.485,1.3830594939580556
-9.13054e+18,2,354.99,2,177.495,4.4517902724922145
-9.12959e+18,1,39.9,1,39.9,1.2131268996104247
-9.12863e+18,1,88.0,1,88.0,2.210397019517816
-9.1286e+18,6,577.42,5,96.23666666666666,4.185517850891754
-9.1285e+18,4,512.0699999999999,4,128.01749999999998,4.197699208379844
-9.12827e+18,1,97.0,1,97.0,2.3969964182530874
-9.12809e+18,1,100.0,1,100.0,2.4591962178315105
-9.1279e+18,1,107.0,1,107.0,2.604329083514499
-9.12775e+18,4,281.45,3,70.3625,2.8773227268151746
-9.12773e+18,1,100.0,1,100.0,2.4591962178315105
-9.12755e+18,1,99.0,1,99.0,2.4384629513053695
-9.12741e+18,4,283.21,4,70.8025,3.011445364086677
-9.12722e+18,13,359.08,11,27.62153846153846,5.338989066611223
-9.12713e+18,2,31.98,2,15.99,1.1032640621877803
-9.12679e+18,1,39.9,1,39.9,1.2131268996104247
-9.12675e+18,2,270.14,2,135.07,3.5721814401206733
-9.12627e+18,1,77.0,1,77.0,1.9823310877302633
-9.12588e+18,1,103.5,1,103.5,2.531762650673005
-9.12552e+18,2,151.1,2,75.55,2.33813741648475
-9.12549e+18,4,195.89,4,48.9725,2.558838155821015
-9.12545e+18,1,119.0,1,119.0,2.8531282818281936
-9.12542e+18,1,183.75,1,183.75,4.195607289395835
-9.12425e+18,1,38.0,1,38.0,1.1737336932107565
-9.12372e+18,1,16.99,1,16.99,0.7381277634965301
-9.12365e+18,1,81.75,1,81.75,2.0808141037294337
-9.1235e+18,1,36.0,1,36.0,1.1322671601584744
-9.12343e+18,1,24.5,1,24.5,0.8938345951078505
-9.12336e+18,7,387.54999999999995,7,55.36428571428571,3.848969448265456
-9.12313e+18,2,66.09,2,33.045,1.4568699227911182
-9.12287e+18,1,113.6,1,113.6,2.7411686425870307
-9.1218e+18,1,67.0,1,67.0,1.774998422468851
-9.12142e+18,2,88.97,2,44.485,1.6940584918501735
-9.12126e+18,31,1919.08,29,61.905806451612904,12.995466106416131
-9.12116e+18,7,868.98,6,124.14,5.149914663076906
-9.12071e+18,1,32.98,1,32.98,1.0696526952495278
-9.11994e+18,1,104.98,1,104.98,2.5624478851316934
-9.1194e+18,1,208.6,1,208.6,4.710828962570444
-9.11936e+18,3,273.99,3,91.33,3.051177927484649
-9.11915e+18,4,177.46,4,44.365,2.463309630301819
-9.11885e+18,2,60.7,2,30.35,1.4009937695031678
-9.11833e+18,1,145.0,1,145.0,3.3921932115078643
-9.11825e+18,1,4.99,1,4.99,0.48932856518283585
-9.11796e+18,2,120.9,2,60.45,2.0250650919400175
-9.11788e+18,1,26.0,1,26.0,0.9249344948970624
-9.11765e+18,1,47.0,1,47.0,1.3603330919460275
-9.11663e+18,1,104.0,1,104.0,2.5421292839360756
-9.11637e+18,9,716.78,9,79.64222222222222,5.12406950702402
-9.11582e+18,2,176.15,1,88.075,2.4728215797246684
